hash,name
d682e61a,work/sound_data/sadpcm/JINGLE/Miss_spector.int
08f8f46e,work/sound_data/sadpcm/JINGLE/You_Lose.int
e2adbee6,work/sound_data/sadpcm/JINGLE/Retire.int
486c58c7,work/sound_data/sadpcm/BGM/SGMM_28_timeout.int
1042eecb,work/sound_data/sadpcm/BGM/BGM39A.int
105f87bc,work/sound_data/sadpcm/BGM/BGM39B.int
049d1bfd,work/sound_data/sadpcm/BGM/SGMM_349f.int
04b9b4ee,work/sound_data/sadpcm/BGM/SGMM_349g.int
9d8afcc6,work/sound_data/sadpcm/BGM/SGMM_359f.int
9da795b7,work/sound_data/sadpcm/BGM/SGMM_359g.int
3678dd8f,work/sound_data/sadpcm/BGM/SGMM_369f.int
36957680,work/sound_data/sadpcm/BGM/SGMM_369g.int
ed3f7069,work/sound_data/sadpcm/BGM/SGMM_429g.int
10c97def,work/sound_data/sadpcm/BGM/BGM27.int
1102afd1,work/sound_data/sadpcm/BGM/BGM29.int
18458502,work/sound_data/sadpcm/BGM/BGM40.int
